filename,h2b_id,diffusion_coef
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,1,0.0069881774062500015
,,0.0007680243902496006
,,0.005248302057250154
,,0.002834170000000185
,,0.04375861030024979
,,0.0373744930000001
,,0.016572748812249547
,,0.012093311917250198
,,0.005158497512249691
,,0.03862476418224926
,,0.0057600649812496975
,,0.014375683640250539
,,0.018725424322249686
,,2.684184399999513e-05
,,0.02706480196099983
,,0.02921222875624889
,,0.030113238982251368
,,0.019215041400249308
,,0.01763433118524979
,,0.02183273053600122
,,0.0008042504402499725
,,0.013048856834000188
,,0.005240325556249952
,,0.013078685110250102
,,0.0026755817209999817
,,0.0057322376572500975
,,0.0053315295152497316
,,0.01954335136025002
,,0.00031754231225005093
,,0.01204690009024899
,,0.006476657331249047
,,0.012083314084001807
,,0.026688268617249582
,,0.052605672945251876
,,0.0027888603672499967
,,0.013315637982249912
,,0.007028268472249942
,,0.006481598985999769
,,0.020831165615251054
,,0.005965340388999302
,,0.012080414233999442
,,0.029864073850001824
,,0.03281754154899964
,,0.0006311243552499086
,,0.0443756520452514
,,0.0033251057562495435
,,0.033790726162249395
,,0.021669084072250298
,,0.044253613994002246
,,0.014758529050001166
,,0.025917574225251053
,,0.03672724620100062
,,0.001043299923999994
,,0.03995632846525038
,,0.02548509230900068
,,0.01374991353125011
,,0.041041398906000365
,,0.04797732603025073
,,0.003824052131249926
,,0.0433984413552493
,,0.024666504724999982
,,5.7629127249961436e-05
,,0.042742945657251286
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,3,5.975980486624999
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,11,4.045135378115263
,,0.09766947343525177
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,12,0.8844020818962433
,,0.4890776899612488
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,13,0.011926765408999906
,,0.012951298792248449
,,0.0034899524562500657
,,0.007677821155999703
,,0.032154759049999676
,,0.033864861049998383
,,0.0259646232622494
,,0.022411853656249904
,,0.019962653050248493
,,0.050201132406247566
,,0.12218197165225007
,,0.011617520703999644
,,0.042344580035250684
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,22,0.13883678869524874
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,23,0.14758216183399991
,,0.02257849065625076
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,33,0.10304330230024755
,,0.06494916340900236
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,36,0.11432130312024727
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,43,15.988727497638772
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,60,0.6301292247122632
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,95,0.04446492926900116
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,103,0.7095612882330165
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,104,0.2846304890845041
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,123,0.029963982706255665
,,0.08454644114598774
,,0.0038795386660006276
,,0.015829049068998492
,,0.0024194592500005937
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,130,0.03772732421441909
,,0.012667566109120607
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,135,0.0636919283530122
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,136,9.640703422611177
,,5.062200339633207
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,146,0.1023711862264754
,,0.6743444053705855
,,0.6544309610641724
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,153,0.3870167535278116
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,156,0.1334957578570795
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,159,0.014520150244837429
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,165,6.898953345701381
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,171,9.036729058199555
,,3.690534470457975
,,3.0097645567935105
,,3.48617389012395
,,0.271448013591207
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,182,0.06000579784901173
,,0.01656204413524645
,,0.18819926553028088
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,183,0.016793085174316477
,,0.0218622927098567
,,0.03610721110069701
,,0.010197243935371466
,,0.024676039866306457
,,0.022885788447856322
,,0.004489747492490699
,,0.009234247364220982
,,0.011375184439807949
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,184,0.021213106247843883
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,185,0.06510637666130342
,,0.0020389503613720637
,,0.03265721496781817
,,0.010611908332248607
,,0.03729334296925714
,,0.02670799228714832
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,191,0.053923937574242006
,,0.1432169998042758
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,206,0.10949911512497909
20220217_aa4_cell11_before_crop.rpt_tracked - Copie.trxyt,212,0.01270271608449771
,,0.01281937887224789
,,0.001164013713250259
,,0.043216624624993386
,,0.0004083561012501852
,,0.004247207491249426
,,0.021443665576003825
,,0.0072759658004991545
,,0.03920805537124315
,,0.008114815452501369
,,0.007905632832498717
,,0.005587059625000867
,,0.061809834602489705
,,0.1488920208345277
,,0.09595287682448383
,,0.10175405323727056
,,0.004625417964499829
,,0.04411089721624583
,,0.012664500617251991
,,0.03800396759049422
,,0.040918952468258496
,,0.07249948438848905
,,0.1338986034522759
,,0.01604284545124784
,,0.018191836530253167
,,0.007062600881247846
,,0.012594156086497686
,,0.055031971770008604
,,0.020374906362496666
,,0.0037606884305009637
,,0.04906155494499299
,,0.03306827798125667
,,0.01614454675599674
,,0.04386093496649336
,,0.006539252281251254
,,0.014066498337997894
,,0.03319737910625474
,,0.022594631349245314
,,0.07751667981626664
,,0.00022303750100015717
,,0.017623428711253854
