31/3/2023, 11:17, number of trained h2bs:24576
train history, test history, train_acc, test_acc
tf.Tensor(5.8520623e-06, shape=(), dtype=float32)	tf.Tensor(0.019384658, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.9936683, shape=(), dtype=float32)
tf.Tensor(4.248551e-06, shape=(), dtype=float32)	tf.Tensor(0.025583947, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.9922386, shape=(), dtype=float32)
tf.Tensor(3.6251474e-06, shape=(), dtype=float32)	tf.Tensor(0.021471675, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.99346405, shape=(), dtype=float32)
tf.Tensor(2.6635375e-06, shape=(), dtype=float32)	tf.Tensor(0.022446578, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.9932598, shape=(), dtype=float32)
tf.Tensor(1.7595239e-06, shape=(), dtype=float32)	tf.Tensor(0.021722414, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.99346405, shape=(), dtype=float32)
tf.Tensor(1.5280067e-06, shape=(), dtype=float32)	tf.Tensor(0.022416044, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.9932598, shape=(), dtype=float32)
tf.Tensor(1.0929054e-06, shape=(), dtype=float32)	tf.Tensor(0.024651462, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.99264705, shape=(), dtype=float32)
tf.Tensor(9.3909006e-07, shape=(), dtype=float32)	tf.Tensor(0.021303201, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.9936683, shape=(), dtype=float32)
tf.Tensor(7.4113484e-07, shape=(), dtype=float32)	tf.Tensor(0.025115559, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.9920343, shape=(), dtype=float32)
tf.Tensor(5.672298e-07, shape=(), dtype=float32)	tf.Tensor(0.024696628, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.9924428, shape=(), dtype=float32)
tf.Tensor(4.8275706e-07, shape=(), dtype=float32)	tf.Tensor(0.02795629, shape=(), dtype=float32)	tf.Tensor(1.0, shape=(), dtype=float32)	tf.Tensor(0.9920343, shape=(), dtype=float32)
